year,month,day,date
canh thìn,nhâm ngọ,giáp ngọ,5-Jun-00
canh thìn,nhâm ngọ,ất mùi,6-Jun-00
canh thìn,nhâm ngọ,bính thân,7-Jun-00
canh thìn,nhâm ngọ,đinh dậu,8-Jun-00
canh thìn,nhâm ngọ,mậu tuất,9-Jun-00
canh thìn,nhâm ngọ,kỷ hợi,10-Jun-00
canh thìn,nhâm ngọ,canh tý,11-Jun-00
canh thìn,nhâm ngọ,tân sửu,12-Jun-00
canh thìn,nhâm ngọ,nhâm dần,13-Jun-00
canh thìn,nhâm ngọ,quý mão,14-Jun-00
canh thìn,nhâm ngọ,giáp thìn,15-Jun-00
canh thìn,nhâm ngọ,ất tỵ,16-Jun-00
canh thìn,nhâm ngọ,bính ngọ,17-Jun-00
canh thìn,nhâm ngọ,đinh mùi,18-Jun-00
canh thìn,nhâm ngọ,mậu thân,19-Jun-00
canh thìn,nhâm ngọ,kỷ dậu,20-Jun-00
canh thìn,nhâm ngọ,canh tuất,21-Jun-00
canh thìn,nhâm ngọ,tân hợi,22-Jun-00
canh thìn,nhâm ngọ,nhâm tý,23-Jun-00
canh thìn,nhâm ngọ,quý sửu,24-Jun-00
canh thìn,nhâm ngọ,giáp dần,25-Jun-00
canh thìn,nhâm ngọ,ất mão,26-Jun-00
canh thìn,nhâm ngọ,bính thìn,27-Jun-00
canh thìn,nhâm ngọ,đinh tỵ,28-Jun-00
canh thìn,nhâm ngọ,mậu ngọ,29-Jun-00
canh thìn,nhâm ngọ,kỷ mùi,30-Jun-00
canh thìn,nhâm ngọ,canh thân,1-Jul-00
canh thìn,quý mùi,tân dậu,2-Jul-00
canh thìn,quý mùi,nhâm tuất,3-Jul-00
canh thìn,quý mùi,quý hợi,4-Jul-00
canh thìn,quý mùi,giáp tý,5-Jul-00
canh thìn,quý mùi,ất sửu,6-Jul-00
canh thìn,quý mùi,bính dần,7-Jul-00
canh thìn,quý mùi,đinh mão,8-Jul-00
canh thìn,quý mùi,mậu thìn,9-Jul-00
canh thìn,quý mùi,kỷ tỵ,10-Jul-00
canh thìn,quý mùi,canh ngọ,11-Jul-00
canh thìn,quý mùi,tân mùi,12-Jul-00
canh thìn,quý mùi,nhâm thân,13-Jul-00
canh thìn,quý mùi,quý dậu,14-Jul-00
canh thìn,quý mùi,giáp tuất,15-Jul-00
canh thìn,quý mùi,ất hợi,16-Jul-00
canh thìn,quý mùi,bính tý,17-Jul-00
canh thìn,quý mùi,đinh sửu,18-Jul-00
canh thìn,quý mùi,mậu dần,19-Jul-00
canh thìn,quý mùi,kỷ mão,20-Jul-00
canh thìn,quý mùi,canh thìn,21-Jul-00
canh thìn,quý mùi,tân tỵ,22-Jul-00
canh thìn,quý mùi,nhâm ngọ,23-Jul-00
canh thìn,quý mùi,quý mùi,24-Jul-00
canh thìn,quý mùi,giáp thân,25-Jul-00
